Image_ID,class,confidence,ymin,xmin,ymax,xmax
ID_001200,0,0,0,0,0,0
ID_001201,0,0,0,0,0,0
ID_001202,0,0,0,0,0,0
ID_001203,0,0,0,0,0,0
ID_001204,0,0,0,0,0,0
ID_001205,0,0,0,0,0,0
ID_001206,0,0,0,0,0,0
ID_001207,0,0,0,0,0,0
ID_001208,0,0,0,0,0,0
ID_001209,0,0,0,0,0,0
ID_001210,0,0,0,0,0,0
ID_001211,0,0,0,0,0,0
ID_001212,0,0,0,0,0,0
ID_001213,0,0,0,0,0,0
ID_001214,0,0,0,0,0,0
ID_001215,0,0,0,0,0,0
ID_001216,0,0,0,0,0,0
ID_001217,0,0,0,0,0,0
ID_001218,0,0,0,0,0,0
ID_001219,0,0,0,0,0,0
ID_001220,0,0,0,0,0,0
ID_001221,0,0,0,0,0,0
ID_001222,0,0,0,0,0,0
ID_001223,0,0,0,0,0,0
ID_001224,0,0,0,0,0,0
ID_001225,0,0,0,0,0,0
ID_001226,0,0,0,0,0,0
ID_001227,0,0,0,0,0,0
ID_001228,0,0,0,0,0,0
ID_001229,0,0,0,0,0,0
ID_001230,0,0,0,0,0,0
ID_001231,0,0,0,0,0,0
ID_001232,0,0,0,0,0,0
ID_001233,0,0,0,0,0,0
ID_001234,0,0,0,0,0,0
ID_001235,0,0,0,0,0,0
ID_001236,0,0,0,0,0,0
ID_001237,0,0,0,0,0,0
ID_001238,0,0,0,0,0,0
ID_001239,0,0,0,0,0,0
ID_001240,0,0,0,0,0,0
ID_001241,0,0,0,0,0,0
ID_001242,0,0,0,0,0,0
ID_001243,0,0,0,0,0,0
ID_001244,0,0,0,0,0,0
ID_001245,0,0,0,0,0,0
ID_001246,0,0,0,0,0,0
ID_001247,0,0,0,0,0,0
ID_001248,0,0,0,0,0,0
ID_001249,0,0,0,0,0,0
ID_001250,0,0,0,0,0,0
ID_001251,0,0,0,0,0,0
ID_001252,0,0,0,0,0,0
ID_001253,0,0,0,0,0,0
ID_001254,0,0,0,0,0,0
ID_001255,0,0,0,0,0,0
ID_001256,0,0,0,0,0,0
ID_001257,0,0,0,0,0,0
ID_001258,0,0,0,0,0,0
ID_001259,0,0,0,0,0,0
ID_001260,0,0,0,0,0,0
ID_001261,0,0,0,0,0,0
ID_001262,0,0,0,0,0,0
ID_001263,0,0,0,0,0,0
ID_001264,0,0,0,0,0,0
ID_001265,0,0,0,0,0,0
ID_001266,0,0,0,0,0,0
ID_001267,0,0,0,0,0,0
ID_001268,0,0,0,0,0,0
ID_001269,0,0,0,0,0,0
ID_001270,0,0,0,0,0,0
ID_001271,0,0,0,0,0,0
ID_001272,0,0,0,0,0,0
ID_001273,0,0,0,0,0,0
ID_001274,0,0,0,0,0,0
ID_001275,0,0,0,0,0,0
ID_001276,0,0,0,0,0,0
ID_001277,0,0,0,0,0,0
ID_001278,0,0,0,0,0,0
ID_001279,0,0,0,0,0,0
ID_001280,0,0,0,0,0,0
ID_001281,0,0,0,0,0,0
ID_001282,0,0,0,0,0,0
ID_001283,0,0,0,0,0,0
ID_001284,0,0,0,0,0,0
ID_001285,0,0,0,0,0,0
ID_001286,0,0,0,0,0,0
ID_001287,0,0,0,0,0,0
ID_001288,0,0,0,0,0,0
ID_001289,0,0,0,0,0,0
ID_001290,0,0,0,0,0,0
ID_001291,0,0,0,0,0,0
ID_001292,0,0,0,0,0,0
ID_001293,0,0,0,0,0,0
ID_001294,0,0,0,0,0,0
ID_001295,0,0,0,0,0,0
